ABAB,15,28,1,39
ABAC,55,28,1,40
ABAE,2,24,4,36
ABAF,2,24,2,35
ABCA,9,23,2,33
ABCB,42,26,28,36
ABCD,60,27,1,41
ABCE,8,20,1,37
ABDB,72,26,12,37
ABDC,17,27,8,38
ABDE,2,15,2,36
ABDF,1,15,1,33
ABFA,1,23,6,36
ABFB,24,25,1,33
ABFD,34,26,2,37
ABFE,59,27,1,42
ACAB,1,21,1,34
ACAC,1,24,1,37
ACAE,4,24,1,36
ACAF,7,24,11,36
ACBA,4,24,1,34
ACBC,40,28,1,42
ACBD,38,28,2,42
ACBF,21,25,1,37
ACDB,1,19,15,33
ACDC,3,22,1,37
ACDE,5,19,10,34
ACDF,5,20,1,33
ACEA,0,10000000000,0,0
ACEC,1,16,2,32
ACED,2,21,5,36
ACEF,0,10000000000,0,0
