n,ABAB,ABAC,ABAE,ABAF,ABCA,ABCB,ABCD,ABCE,ABDB,ABDC,ABDE,ABDF,ABFA,ABFB,ABFD,ABFE,ACAB,ACAC,ACAE,ACAF,ACBA,ACBC,ACBD,ACBF,ACDB,ACDC,ACDE,ACDF,ACEA,ACEC,ACED,ACEF
5,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
6,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
7,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0
8,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2, 0, 0
9,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0
10,0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
11,0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 3, 1, 0, 0, 0, 0
12,0, 0, 0, 0, 0, 0, 14, 6, 4, 10, 4, 6, 0, 0, 3, 7, 1, 5, 1, 0, 0, 0, 8, 0, 2, 4, 6, 2, 0, 4, 0, 0
13,0, 2, 0, 0, 0, 0, 31, 21, 14, 17, 13, 2, 0, 0, 12, 11, 1, 13, 4, 1, 0, 5, 20, 1, 11, 12, 15, 4, 0, 11, 7, 0
14,0, 5, 4, 1, 0, 2, 65, 47, 20, 43, 27, 10, 1, 3, 11, 23, 2, 23, 7, 8, 0, 14, 51, 4, 7, 24, 20, 6, 0, 36, 13, 0
15,3, 45, 16, 7, 1, 18, 72, 103, 56, 154, 62, 36, 8, 10, 34, 73, 14, 86, 33, 36, 4, 53, 74, 18, 37, 88, 90, 18, 0, 67, 19, 0
16,32, 119, 60, 29, 27, 74, 270, 349, 267, 284, 168, 56, 31, 64, 120, 241, 58, 242, 83, 80, 23, 182, 231, 57, 110, 267, 143, 72, 0, 231, 56, 0
17,64, 262, 158, 95, 125, 171, 863, 568, 361, 541, 275, 141, 144, 151, 412, 434, 205, 334, 159, 151, 98, 401, 780, 94, 287, 394, 280, 110, 0, 379, 162, 0
18,185, 888, 577, 341, 418, 501, 1863, 1191, 911, 1499, 694, 332, 348, 432, 922, 1067, 649, 977, 576, 512, 333, 1094, 1664, 238, 702, 1083, 821, 228, 0, 867, 413, 0
19,920, 2828, 1887, 1358, 1038, 1944, 4504, 3463, 3263, 4409, 1976, 889, 1033, 1538, 2228, 3380, 2139, 3355, 1878, 1934, 888, 3202, 3850, 960, 2331, 3681, 2255, 663, 0, 2405, 869, 0
20,3230, 7849, 5780, 4235, 3636, 6387, 12210, 9380, 8722, 11142, 4846, 2406, 3960, 5279, 6188, 9498, 6045, 9243, 5169, 6047, 3271, 10568, 11072, 3351, 6621, 9339, 6459, 1884, 0, 7016, 2612, 0
21,10240, 21050, 15403, 11915, 12552, 17470, 35545, 23471, 23347, 27617, 11530, 5729, 13352, 15565, 17772, 25095, 16872, 24492, 13640, 16381, 11028, 27534, 31305, 10394, 18187, 22981, 16482, 4130, 0, 18017, 7598, 0
22,32828, 62614, 44419, 37710, 36995, 50548, 90267, 60592, 65241, 77505, 30604, 14501, 41360, 43808, 47598, 65095, 52502, 67846, 39118, 46659, 33044, 72411, 85167, 30480, 51157, 63609, 43270, 10550, 0, 47846, 19634, 0
23,110907, 187304, 138326, 116882, 107404, 157496, 234533, 169454, 196319, 226409, 87219, 39008, 116880, 139245, 124770, 192562, 160010, 208085, 115682, 151491, 96636, 209723, 218929, 94682, 154709, 187072, 125117, 29828, 0, 138581, 49354, 0
24,350436, 541904, 405352, 357392, 336545, 485962, 671277, 482926, 584325, 621935, 246371, 107562, 370181, 437814, 360697, 582459, 477742, 601270, 336715, 442311, 312430, 619985, 628053, 306727, 443387, 542397, 341850, 85153, 0, 398088, 141780, 0
25,1017696, 1520413, 1120012, 1050761, 1058979, 1375118, 1918028, 1288091, 1580584, 1706631, 646748, 287784, 1210590, 1277438, 1066756, 1578034, 1370096, 1631126, 942032, 1235502, 1005663, 1724213, 1837993, 887874, 1245346, 1451309, 912743, 221520, 0, 1087833, 405774, 0
26,3135263, 4475716, 3283390, 3233497, 3228382, 3976761, 5337082, 3488955, 4556218, 4908116, 1794903, 778634, 3612362, 3744942, 2955838, 4442352, 4141885, 4713078, 2771100, 3661747, 3024956, 4864818, 5036144, 2631779, 3654678, 4121995, 2562593, 592702, 0, 2997035, 1121529, 0

